address,amount
0x73205a8fb09fe7d2dea527e0b38e4d032574f8bb,40274400000000000000000
0x294db61509189b4bce4962ea9361d6490766f0ba,40200003440000000000000
0x46bc2f14f91e43a7321d2c22954517e8809226f5,40200000000000000000000
0x6a8971de7c6173e37fd267c34463e6ac55bd4d82,40200000000000000000000
0xeddc3bb55ed6b1af86be36effea14e60209df42c,40120000000000000000000
0x84d54842fe64935de08e596b8f7c9b927752e6dc,40080000000000000000000
0x9c345a526d9acaa28b3b3fc7687b48eb1b0d1a7b,40080000000000000000000
0xbce6d3dfa1d71a70b06e41706d87bcd50637e84b,40080000000000000000000
0xd98663306b2c9cdba69deab3785b11ae90673756,40048000000000000000000
0x098bede5133f6da3d3d8fadc046d26980cc1ec50,40040000000000000000000
0x3cef1b6acbc7b63c201d865641bf3727ab1baf01,40040000000000000000000
0xcb8f6744ebc50fc2b087ea6345d942dc23cd8b6b,40040000000000000000000
0x3df75df06e7f17f86e436ad5d671b1d43817e92d,40036439680000000000000
0x569d4086b2b970b644fb9716cf03572fccb31e69,40032000000000000000000
0x08376a36f773188912f498de4040c3d0390a14e1,40000000000000000000000
0x129071e6a054d61d2c5c157bd081dbc84114c768,40000000000000000000000
0x132868d83ca3af8cc84c2ad823f6d8cd772e7290,40000000000000000000000
0x2386d4023cd6cfedaaa09f3f692a40844a627de1,40000000000000000000000
0x338f1c322329fd0fc7cbf52b80877fc705addb9d,40000000000000000000000
0x37abdf1534c12168c848f0f3936880e31c92440c,40000000000000000000000
0x4090b60940ae22481ad5fbb44425b4bd3ebf39dd,40000000000000000000000
0x4e85b0b9e60954b15c69ab2822533d504786b4ae,40000000000000000000000
0x5c346a2d38ef0ad4325925ff46f2b180a8d5dd2a,40000000000000000000000
0x6ef54997c0ffa5c6a0f00eff6f7bd5ac79e0a5f6,40000000000000000000000
0x7958a2388fc3b08b6b53ae3166df078f14a20367,40000000000000000000000
0x829a162e07944355f54f813354fca1d193ce4a3c,40000000000000000000000
0x82b1f6c9a13d65c1f44f2a626e6d690e06933bd5,40000000000000000000000
0x8727c25b5ca0a49367d841f74cf9ecbe14cc55af,40000000000000000000000
0x9433d2eef9f4fcef8888d449b76405270b358395,40000000000000000000000
0x9f6ec41cacaf0845706060930425264cbff24fb0,40000000000000000000000
0xa8f92fba7368969dbb8802161a4d2435d1215e1e,40000000000000000000000
0xa94d8fc0bc5034270b146d86e5594e2e2fc93c5b,40000000000000000000000
0xa9dcd1a86f9eb64ed5505001a5ca794cda449f66,40000000000000000000000
0xab79b5d2ef7dd1ba676ee0eeee7a0af3cd1554a2,40000000000000000000000
0xb592f95ee0a97d959f871fc98352f73ff0bdb69d,40000000000000000000000
0xbf825f94d9bfd0a340a027e0f5b342ca8d8cf1cf,40000000000000000000000
0xc066a986243cf02f0ed3ca9e2d97d0f68923d4e4,40000000000000000000000
0xc1218af55df764c9d866a08f2a2c00e1e23d071b,40000000000000000000000
0xc705e989d9cb90a0020415be3cf6189e8e497b83,40000000000000000000000
0xc7d2fde79bdae639115607a5bddd1596058e9c29,40000000000000000000000
0xc9cdf292b2b849b14a7980223a92aec82f00fef8,40000000000000000000000
0xd0b8fd36385bff1bef15fc56ce56ebf2dcd687b3,40000000000000000000000
0xd89b7264d21656b06b3cc053869acfc16ba583ec,40000000000000000000000
0xddc955d96b6d22a946986336e28189f8814e329a,40000000000000000000000
0xdeb2f273dfc3b7070ace37825d89f17f796b6b0b,40000000000000000000000
0xe339dfb215d80f805f072e019189ab3d7afb2074,40000000000000000000000
0xea5a41d7b88b76bacd0b45ff3cdaf02499969c41,40000000000000000000000
0xeddfada41d814a32591a820d779c61beeb37c12b,40000000000000000000000
0xf061226ce51d5b2bfbd1ac23fb18e45cb8a6bbd7,40000000000000000000000
0xf7a5acf1bdb3d2b015060872e92b9023d3fcc2f3,40000000000000000000000
0xfa3362368c1ef04551c86fbc8cef027ed4b5961f,40000000000000000000000
0x541c411409cac3eaa0a6ac39eb45c07a93c81ad5,39411653760000000000000
0xd9f4c791763b49d9b4d186f30af726cee97dce70,39320683372000000000000
0xcf86575b3e0de0666fbb102d243f5d1eb2bc347c,39000000000000000000000
0x6d523b46df80745ae9d4ec4c27fef3e644f707ea,38397477480000000000000
0x95e51f9fd20095bb03e84fb0af5a6e42749e69f8,37120000000000000000000
0x2b9aaef51567680ea0014d2a4bfd3f54cb302896,34040000000000000000000
0xe7af4c534ac35466bad14c61d2d6d6a2b64c5a8c,33914203600000000000000
0xf49c4f77c6ed2cc100b98a74f6ab31103d97cdb2,33880000000000000000000
0x01470628921067619a6bec62e5d0ca98e7c5f00a,33612439412000000000000
0xf9863b2e8596080e98384b5690419aee0ff50989,33372821084000000000000
0x45F6fb23Ff359a0F9F8f2A33A7B810474A9F9b3E,32785200000000000000000
0xaa6fabe21c205fba1baf6e49d58d356c3066af4a,32487953200000000000000
0x9e6048cd10c30a332fc9955f9643af0521b34f7c,32319999988000000000000
0x28e475fe73856909b9879e70a386b9bf959a8c7e,32000000000000000000000
0xa6003994e6aad55d988970774ef81215e95ee2ae,30994942000000000000000
0x196d9d6d1a980ce96b93ef09ea2acf0ee9c09828,30474478320000000000000
0x6a51df0722a0b05f95861c2de5175699c2350980,30000000000000000000000
0x9538ec6b968139e2a44bc9f93f4d60d60d3bcf50,30000000000000000000000
0xc09da1ec60169b17b31d47474ecf38a3b97305ff,30000000000000000000000
0xf2e41813c27699d07447183eab55fdfc3e9945fe,30000000000000000000000
0xaed179fd09067210646fe3667d510a685aa1a8b7,29200000000000000000000
0xcc46b00b5dd6e74628d7482d5478e3e4e5f21b48,28160000000000000000000
0xb81efbf840683134733005fe8596ea45756065fb,28040000000000000000000
0x11d64f7aa216d0c077c45ca30c81522e4c25721d,27098532800000000000000
0xfa38f525d881cd1cd919639ba4dcccbf3eeb9c41,27000000000000000000000
0xdb85e6e87919dd170430ef0e3618530bc4f03428,26102801944000000000000
0x861653799ebf80077440bf1f606aa8b500d16e03,25880000000000000000000
0x4db9563b28e97ae06ff8e1419c5cc792af721e1b,25843306200000000000000
0x21140bfc004f190befa2f7bec4974033902da215,24836110560000000000000
0xd2e597a88535ea71e930d7cbe4c3924523b08d85,24817286012000000000000
0x3497b4923cf640d8df04f5b3c7bb622ca4d7bdb6,24000000000000000000000
0x4434dea6cfa934295b5c0dd2911a0d531337297b,24000000000000000000000
