address,amount
0x71d3d2bb03d4a0c924909497773c8b4a3c7530e1,25000000000000000000000
0x783239fe8a45a75dc240c3fa01134b072f03d763,25000000000000000000000
0x798e0c706e2532a19a69dd453c0306e93cd6d3af,25000000000000000000000
0x7c83b55bff699940084ef8ba7b4cdb11e203f67c,25000000000000000000000
0x8073438bb28e4fc9abfacd8442512590dc7e5f40,25000000000000000000000
0x83d16e6e669f7ce538239d06bf398b02d8b2ab71,25000000000000000000000
0x97441976f7598fbe8c2bbc9f44e5e945fcc2a722,25000000000000000000000
0x98150396c356c55a848b2baba6ac7614615a595b,25000000000000000000000
0x9cae8f3d7469c7afd13c8c01b5217ba998c7d572,25000000000000000000000
0xa0195b58cd701162c107878f304eccc03fa02ccd,25000000000000000000000
0xa2cf583009927e59912631f662ce4bd9232d2fa9,25000000000000000000000
0xa331a1b12e731a0a70ff1e848073edd23cc10d02,25000000000000000000000
0xc944587f0ab3965c83c70f8448ce3e2dd93bdb37,25000000000000000000000
0xcb22a7e075ff4e7e14c5fd2c97958d4643c0a7ec,25000000000000000000000
0xcef2b737348deb4c42c1b5dd91bdd80a4dea9437,25000000000000000000000
0xcfb319739a40fd9fe71fe0000682a555356c5d22,25000000000000000000000
0xd09b4904f731953a1b74a20e012841bc44db61cc,25000000000000000000000
0xdc7a6d7d8b60eb4c15bab29bae6c29163ba587e6,25000000000000000000000
0xe173a3ac0de7acad18dd7b23ea976c1912290afa,25000000000000000000000
0xe96be213c816f2a10ed803a627954ab84e380fbf,25000000000000000000000
0xe9b052a661fc3fa0383d8861b8b0f9e01e677f7a,25000000000000000000000
0xef986a919faadbb701928ccd9cbfc2ae84d6208f,25000000000000000000000
0xf95aefa10505c7c1fffbc04b278167379acbabba,25000000000000000000000
0xfa04dd700730fe6e818d41cf1ce2decd57d82b29,25000000000000000000000
0xfcec1bb15be4124168f5902318148d4442d975f8,25000000000000000000000
0xf6a9ea0c5b4a58ec1ac0dc10ba99477fb0d42ba6,24831962900000000000000
0x0b9279c2dffffa8d5147881fc19d9848a7f1c914,10495660000000000000000
0x62df71a24c38dfbe87d9a3fd27dbe54dd43aba6a,5000000000000000000000
0x4ea51cd8224c2d601fbbd597450657ecd5c5eb81,500000000000000000000
